PI,TIME,PROC_NUM,N,SCALING,TEST_CASE_NUM
3.141414,0.042484,5,1000000,weak,6
3.141616,0.012537,5,1000000,strong,7
3.142549,0.034674,5,1000000,weak,7
3.141316,0.007081,5,1000000,strong,8
3.142264,0.034518,5,1000000,weak,8
3.140496,0.007999,5,1000000,strong,9
3.141793,0.034456,5,1000000,weak,9
3.144812,0.007218,5,1000000,strong,10
3.141889,0.034489,5,1000000,weak,10
3.140432,0.006979,5,1000000,strong,11
3.140914,0.034552,5,1000000,weak,11
3.138796,0.006947,5,1000000,strong,12
3.141855,0.034461,5,1000000,weak,12
3.141484,0.007993,5,1000000,strong,13
3.142775,0.034458,5,1000000,weak,13
3.143572,0.014675,5,1000000,strong,14
3.141432,0.034456,5,1000000,weak,14
3.141104,0.006925,5,1000000,strong,15
3.141616,0.035388,5,1000000,weak,15
3.143608,0.005997,6,1000000,strong,1
3.141936,0.035377,6,1000000,weak,1
3.142044,0.005804,6,1000000,strong,2
3.141327,0.034653,6,1000000,weak,2
3.140668,0.005805,6,1000000,strong,3
3.140653,0.034734,6,1000000,weak,3
3.138068,0.006098,6,1000000,strong,4
3.140925,0.035236,6,1000000,weak,4
3.138596,0.005810,6,1000000,strong,5
3.141622,0.043194,6,1000000,weak,5
3.140628,0.011683,6,1000000,strong,6
3.142137,0.042793,6,1000000,weak,6
3.144300,0.005782,6,1000000,strong,7
3.142257,0.034491,6,1000000,weak,7
3.142800,0.005805,6,1000000,strong,8
3.141149,0.034647,6,1000000,weak,8
3.139852,0.013626,6,1000000,strong,9
3.140525,0.044210,6,1000000,weak,9
3.140992,0.005786,6,1000000,strong,10
3.142163,0.034774,6,1000000,weak,10
3.140448,0.005790,6,1000000,strong,11
3.141201,0.035366,6,1000000,weak,11
3.142568,0.011522,6,1000000,strong,12
3.140674,0.034412,6,1000000,weak,12
3.141964,0.006232,6,1000000,strong,13
3.142140,0.034446,6,1000000,weak,13
3.143780,0.005992,6,1000000,strong,14
3.141703,0.034431,6,1000000,weak,14
3.142140,0.005899,6,1000000,strong,15
3.142121,0.034423,6,1000000,weak,15
3.142136,0.005126,7,1000000,strong,1
3.140884,0.035622,7,1000000,weak,1
3.141144,0.004968,7,1000000,strong,2
3.141104,0.034456,7,1000000,weak,2
3.141304,0.009721,7,1000000,strong,3
3.141726,0.034450,7,1000000,weak,3
3.143392,0.014308,7,1000000,strong,4
3.141449,0.034449,7,1000000,weak,4
3.142360,0.004977,7,1000000,strong,5
3.142232,0.035314,7,1000000,weak,5
3.142776,0.015230,7,1000000,strong,6
3.142745,0.034673,7,1000000,weak,6
3.142140,0.005241,7,1000000,strong,7
3.142452,0.034449,7,1000000,weak,7
3.139516,0.004977,7,1000000,strong,8
3.142395,0.034494,7,1000000,weak,8
3.139888,0.006127,7,1000000,strong,9
3.141070,0.035385,7,1000000,weak,9
3.139952,0.005675,7,1000000,strong,10
3.142604,0.034460,7,1000000,weak,10
