number_of_elements,threads_per_block,time,iter
90000000,64,4.209664,3
90000000,64,4.206752,4
90000000,128,4.132896,0
90000000,128,4.131392,1
90000000,128,4.132224,2
90000000,128,4.130624,3
90000000,128,4.130560,4
90000000,256,4.127584,0
90000000,256,4.129216,1
90000000,256,4.138080,2
90000000,256,4.127680,3
90000000,256,4.130144,4
100000000,16,19.383871,0
100000000,16,17.652161,1
100000000,16,17.650112,2
100000000,16,19.388832,3
100000000,16,19.392609,4
100000000,32,10.018432,0
100000000,32,10.027296,1
100000000,32,10.014304,2
100000000,32,10.017344,3
100000000,32,10.014240,4
100000000,64,4.670016,0
100000000,64,4.670784,1
100000000,64,4.671616,2
100000000,64,4.672384,3
100000000,64,4.670464,4
100000000,128,4.592416,0
100000000,128,4.594272,1
100000000,128,4.607360,2
100000000,128,4.593504,3
100000000,128,4.593664,4
100000000,256,4.589440,0
100000000,256,4.591104,1
100000000,256,4.589088,2
100000000,256,4.590432,3
100000000,256,4.591168,4
