TIME,ARR_SIZE,SCHEDULE_TYPE,CHUNK_SIZE,TEST_CASE_NUM
0.033742,40000000,dynamic,100,13
0.033815,40000000,dynamic,100,14
0.034129,40000000,dynamic,100,15
0.034797,40000000,dynamic,100,16
0.034066,40000000,dynamic,100,17
0.033560,40000000,dynamic,100,18
0.034052,40000000,dynamic,100,19
0.034689,40000000,dynamic,100,20
0.027259,40000000,guided,-1,1
0.027510,40000000,guided,-1,2
0.027412,40000000,guided,-1,3
0.027415,40000000,guided,-1,4
0.027222,40000000,guided,-1,5
0.027410,40000000,guided,-1,6
0.026912,40000000,guided,-1,7
0.027832,40000000,guided,-1,8
0.027296,40000000,guided,-1,9
0.026915,40000000,guided,-1,10
0.027563,40000000,guided,-1,11
0.027051,40000000,guided,-1,12
0.027353,40000000,guided,-1,13
0.028023,40000000,guided,-1,14
0.027078,40000000,guided,-1,15
0.027608,40000000,guided,-1,16
0.027640,40000000,guided,-1,17
0.027515,40000000,guided,-1,18
0.027748,40000000,guided,-1,19
0.027914,40000000,guided,-1,20
0.027243,40000000,guided,1,1
0.027537,40000000,guided,1,2
0.026923,40000000,guided,1,3
0.027425,40000000,guided,1,4
0.027070,40000000,guided,1,5
0.027579,40000000,guided,1,6
0.027307,40000000,guided,1,7
0.026878,40000000,guided,1,8
0.026878,40000000,guided,1,9
0.027100,40000000,guided,1,10
0.027422,40000000,guided,1,11
0.027401,40000000,guided,1,12
0.027633,40000000,guided,1,13
0.027504,40000000,guided,1,14
0.027492,40000000,guided,1,15
0.027861,40000000,guided,1,16
0.027399,40000000,guided,1,17
0.026936,40000000,guided,1,18
0.027087,40000000,guided,1,19
0.031906,40000000,guided,1,20
0.027157,40000000,guided,10,1
0.027844,40000000,guided,10,2
0.027339,40000000,guided,10,3
0.027893,40000000,guided,10,4
0.031380,40000000,guided,10,5
0.031155,40000000,guided,10,6
0.031779,40000000,guided,10,7
0.031429,40000000,guided,10,8
0.032030,40000000,guided,10,9
0.030952,40000000,guided,10,10
0.031893,40000000,guided,10,11
0.030966,40000000,guided,10,12
0.031344,40000000,guided,10,13
0.032023,40000000,guided,10,14
0.031523,40000000,guided,10,15
0.030845,40000000,guided,10,16
0.031109,40000000,guided,10,17
0.031440,40000000,guided,10,18
0.032282,40000000,guided,10,19
0.030872,40000000,guided,10,20
0.032319,40000000,guided,100,1
0.031625,40000000,guided,100,2
0.031353,40000000,guided,100,3
0.032238,40000000,guided,100,4
0.031984,40000000,guided,100,5
0.031204,40000000,guided,100,6
0.030841,40000000,guided,100,7
0.031365,40000000,guided,100,8
0.031569,40000000,guided,100,9
0.032037,40000000,guided,100,10
0.030867,40000000,guided,100,11
0.030852,40000000,guided,100,12
0.032108,40000000,guided,100,13
0.031219,40000000,guided,100,14
0.031411,40000000,guided,100,15
0.031818,40000000,guided,100,16
0.031381,40000000,guided,100,17
0.031153,40000000,guided,100,18
0.031279,40000000,guided,100,19
0.030907,40000000,guided,100,20
0.302050,400000000,static,-1,1
0.297993,400000000,static,-1,2
0.312035,400000000,static,-1,3
0.298391,400000000,static,-1,4
0.299859,400000000,static,-1,5
0.298146,400000000,static,-1,6
0.299709,400000000,static,-1,7
0.318203,400000000,static,-1,8
0.367133,400000000,static,-1,9
0.449777,400000000,static,-1,10
0.351153,400000000,static,-1,11
0.298191,400000000,static,-1,12
0.298126,400000000,static,-1,13
0.300570,400000000,static,-1,14
0.299118,400000000,static,-1,15
0.297806,400000000,static,-1,16
0.301270,400000000,static,-1,17
0.299213,400000000,static,-1,18
0.298437,400000000,static,-1,19
0.302506,400000000,static,-1,20
0.375893,400000000,static,1,1
0.375866,400000000,static,1,2
0.376042,400000000,static,1,3
0.376336,400000000,static,1,4
0.375200,400000000,static,1,5
0.376251,400000000,static,1,6
0.376290,400000000,static,1,7
0.375469,400000000,static,1,8
0.376997,400000000,static,1,9
0.376468,400000000,static,1,10
0.376625,400000000,static,1,11
0.375691,400000000,static,1,12
0.376114,400000000,static,1,13
0.376058,400000000,static,1,14
0.375827,400000000,static,1,15
0.376394,400000000,static,1,16
0.375267,400000000,static,1,17
0.375492,400000000,static,1,18
0.376134,400000000,static,1,19
0.375410,400000000,static,1,20
0.363962,400000000,static,10,1
0.363546,400000000,static,10,2
0.362894,400000000,static,10,3
0.364275,400000000,static,10,4
0.364933,400000000,static,10,5
0.362311,400000000,static,10,6
0.362344,400000000,static,10,7
0.362410,400000000,static,10,8
0.363648,400000000,static,10,9
0.365125,400000000,static,10,10
0.364352,400000000,static,10,11
0.361697,400000000,static,10,12
0.363002,400000000,static,10,13
0.364306,400000000,static,10,14
0.363005,400000000,static,10,15
0.363766,400000000,static,10,16
0.363318,400000000,static,10,17
0.363067,400000000,static,10,18
0.363296,400000000,static,10,19
0.363869,400000000,static,10,20
0.333877,400000000,static,100,1
0.333981,400000000,static,100,2
0.334799,400000000,static,100,3
0.334083,400000000,static,100,4
0.333762,400000000,static,100,5
0.332827,400000000,static,100,6
0.334311,400000000,static,100,7
0.334298,400000000,static,100,8
0.334449,400000000,static,100,9
0.334518,400000000,static,100,10
0.334680,400000000,static,100,11
0.334366,400000000,static,100,12
0.335293,400000000,static,100,13
0.334668,400000000,static,100,14
0.334147,400000000,static,100,15
0.334443,400000000,static,100,16
0.334945,400000000,static,100,17
0.334748,400000000,static,100,18
0.334559,400000000,static,100,19
0.334004,400000000,static,100,20
3.963574,400000000,dynamic,-1,1
3.674778,400000000,dynamic,-1,2
3.671155,400000000,dynamic,-1,3
3.691909,400000000,dynamic,-1,4
4.147421,400000000,dynamic,-1,5
3.674639,400000000,dynamic,-1,6
4.337420,400000000,dynamic,-1,7
4.192805,400000000,dynamic,-1,8
4.276826,400000000,dynamic,-1,9
4.768100,400000000,dynamic,-1,10
4.235899,400000000,dynamic,-1,11
4.575046,400000000,dynamic,-1,12
4.767610,400000000,dynamic,-1,13
4.276484,400000000,dynamic,-1,14
4.153870,400000000,dynamic,-1,15
3.677142,400000000,dynamic,-1,16
3.729698,400000000,dynamic,-1,17
3.674838,400000000,dynamic,-1,18
3.694767,400000000,dynamic,-1,19
3.717994,400000000,dynamic,-1,20
3.688681,400000000,dynamic,1,1
3.728496,400000000,dynamic,1,2
3.678263,400000000,dynamic,1,3
3.981854,400000000,dynamic,1,4
3.982504,400000000,dynamic,1,5
3.673645,400000000,dynamic,1,6
3.629554,400000000,dynamic,1,7
3.720844,400000000,dynamic,1,8
3.880665,400000000,dynamic,1,9
3.625839,400000000,dynamic,1,10
3.981459,400000000,dynamic,1,11
3.675471,400000000,dynamic,1,12
4.146752,400000000,dynamic,1,13
3.689856,400000000,dynamic,1,14
3.676155,400000000,dynamic,1,15
3.672327,400000000,dynamic,1,16
3.691269,400000000,dynamic,1,17
4.150117,400000000,dynamic,1,18
3.722292,400000000,dynamic,1,19
3.980990,400000000,dynamic,1,20
0.722608,400000000,dynamic,10,1
0.719362,400000000,dynamic,10,2
0.714157,400000000,dynamic,10,3
0.728380,400000000,dynamic,10,4
0.721511,400000000,dynamic,10,5
0.721231,400000000,dynamic,10,6
0.719693,400000000,dynamic,10,7
0.716707,400000000,dynamic,10,8
0.721081,400000000,dynamic,10,9
0.712517,400000000,dynamic,10,10
0.723081,400000000,dynamic,10,11
0.714583,400000000,dynamic,10,12
0.721097,400000000,dynamic,10,13
0.718384,400000000,dynamic,10,14
0.714427,400000000,dynamic,10,15
0.714142,400000000,dynamic,10,16
0.715898,400000000,dynamic,10,17
0.713897,400000000,dynamic,10,18
0.721474,400000000,dynamic,10,19
0.717913,400000000,dynamic,10,20
0.327096,400000000,dynamic,100,1
0.330122,400000000,dynamic,100,2
0.327475,400000000,dynamic,100,3
0.374154,400000000,dynamic,100,4
0.373713,400000000,dynamic,100,5
0.372537,400000000,dynamic,100,6
0.372926,400000000,dynamic,100,7
0.373122,400000000,dynamic,100,8
0.374193,400000000,dynamic,100,9
0.375657,400000000,dynamic,100,10
0.373613,400000000,dynamic,100,11
0.374240,400000000,dynamic,100,12
0.374657,400000000,dynamic,100,13
0.374587,400000000,dynamic,100,14
0.375001,400000000,dynamic,100,15
0.374389,400000000,dynamic,100,16
0.375033,400000000,dynamic,100,17
0.375651,400000000,dynamic,100,18
0.374273,400000000,dynamic,100,19
0.371188,400000000,dynamic,100,20
0.304522,400000000,guided,-1,1
0.304266,400000000,guided,-1,2
0.304528,400000000,guided,-1,3
0.304202,400000000,guided,-1,4
0.304891,400000000,guided,-1,5
0.303566,400000000,guided,-1,6
0.303591,400000000,guided,-1,7
0.303901,400000000,guided,-1,8
0.304794,400000000,guided,-1,9
0.304328,400000000,guided,-1,10
0.305067,400000000,guided,-1,11
0.304622,400000000,guided,-1,12
0.303775,400000000,guided,-1,13
0.304035,400000000,guided,-1,14
0.304013,400000000,guided,-1,15
0.304483,400000000,guided,-1,16
0.304342,400000000,guided,-1,17
0.303605,400000000,guided,-1,18
0.304281,400000000,guided,-1,19
0.303984,400000000,guided,-1,20
0.304265,400000000,guided,1,1
0.304633,400000000,guided,1,2
0.304229,400000000,guided,1,3
0.304321,400000000,guided,1,4
0.304849,400000000,guided,1,5
0.304523,400000000,guided,1,6
0.303581,400000000,guided,1,7
0.381361,400000000,guided,1,8
0.304466,400000000,guided,1,9
0.305865,400000000,guided,1,10
0.304159,400000000,guided,1,11
0.304775,400000000,guided,1,12
0.304024,400000000,guided,1,13
0.304283,400000000,guided,1,14
0.303818,400000000,guided,1,15
0.310752,400000000,guided,1,16
0.304257,400000000,guided,1,17
0.304451,400000000,guided,1,18
0.304788,400000000,guided,1,19
0.304208,400000000,guided,1,20
0.304138,400000000,guided,10,1
0.303939,400000000,guided,10,2
0.304644,400000000,guided,10,3
0.304720,400000000,guided,10,4
0.304345,400000000,guided,10,5
0.304025,400000000,guided,10,6
0.304289,400000000,guided,10,7
0.307699,400000000,guided,10,8
0.305305,400000000,guided,10,9
0.304754,400000000,guided,10,10
0.304409,400000000,guided,10,11
0.305328,400000000,guided,10,12
0.304796,400000000,guided,10,13
0.304855,400000000,guided,10,14
0.304567,400000000,guided,10,15
0.317562,400000000,guided,10,16
0.303766,400000000,guided,10,17
0.303916,400000000,guided,10,18
0.304553,400000000,guided,10,19
0.304077,400000000,guided,10,20
0.304299,400000000,guided,100,1
0.304691,400000000,guided,100,2
0.313499,400000000,guided,100,3
0.349360,400000000,guided,100,4
0.382487,400000000,guided,100,5
0.326426,400000000,guided,100,6
0.317754,400000000,guided,100,7
0.303785,400000000,guided,100,8
0.303904,400000000,guided,100,9
0.303879,400000000,guided,100,10
0.329790,400000000,guided,100,11
0.336615,400000000,guided,100,12
0.303956,400000000,guided,100,13
0.304032,400000000,guided,100,14
0.305225,400000000,guided,100,15
0.304264,400000000,guided,100,16
0.304587,400000000,guided,100,17
0.303816,400000000,guided,100,18
0.304619,400000000,guided,100,19
0.309504,400000000,guided,100,20
